Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,2.19580451,4.539317283,2.370641508,4.092614763,4.800351995,-0.567201754,-1.830023738,3.854744451,-1.027089526,-1.689536653,4.918353851,2.369192993,-2.134006061,0.117317036,6.318776765,-1.379148395,-0.049084365,1.838730741,0.577087557,-12.76604288,-3.827012996,2.400342452,-1.833977356,5.635317503
Africa Eastern and Southern,-2.860377068,-2.605620909,-4.479523892,-2.967371,-0.580264108,1.628756181,2.669064744,1.805889059,-0.652243831,0.090308488,0.750995728,1.036420739,1.265661533,0.466079711,2.788589203,3.361068655,3.757256466,3.719489508,1.495308477,-2.053726497,2.373742073,0.936366201,-1.850848324,1.402217261
Afghanistan,,,,,,,,,,,,,,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145
Africa Western and Central,3.843232436,-1.474265001,-0.021442925,-3.738596721,-2.866296311,-0.76052568,1.887667372,1.496010571,0.757349993,-1.257193055,0.96746547,2.352157043,6.931811484,2.641241871,5.051311757,2.928476492,2.476822797,2.636160144,3.355066293,3.349094643,4.004890236,1.947735058,2.259185273,3.256966796
Angola,-6.626409313,-2.312501779,-8.848293617,-26.34912367,-1.850621046,11.27842237,9.825457822,3.755519392,1.313926106,-1.062724886,-0.234945633,0.838227322,9.937307249,-0.466060748,7.127076561,11.00956557,7.614219203,9.935108707,7.163046012,-2.797289984,1.015922259,-0.347039841,4.536024436,1.101887143
Albania,-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353
Andorra,0.042320625,-0.904014454,-2.328613182,-4.165030095,-0.771998475,-0.330383518,2.661055932,8.165547743,2.396919986,3.355457446,2.83605354,5.372532989,0.076702358,4.196837094,3.882383777,1.578040219,4.292621435,4.22037542,-2.935382027,-2.478037072,1.222687703,1.340893892,-5.571255543,-4.026027034
Arab World,8.68604591,0.212118313,2.638040865,0.451589931,0.548929585,0.560596297,2.238437525,2.33455395,2.734654684,-0.439886063,4.184095308,-0.533183395,-1.506037751,2.63294602,6.546763772,3.1170586,3.458805444,1.845476693,2.774598905,-2.186444249,2.254992519,1.050469418,2.927485466,0.279544823
United Arab Emirates,11.58314134,-4.575279929,-1.921751266,-3.614620809,2.042957365,2.0870473,0.092720744,1.35949143,-5.716708524,-2.958957302,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.763433442,3.691201307,4.012692142
Argentina,-3.877389883,7.589999664,6.450073131,6.747497372,4.420120785,-4.116880801,4.204967319,6.823321092,2.654347597,-4.492112129,-1.906987498,-5.453796978,-11.84595039,7.719229637,7.928157051,7.732496999,6.934981738,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175
Armenia,,-13.19114661,-41.09865025,-5.708269453,8.012920544,8.538542212,6.63186556,4.188979575,8.322090806,4.412252849,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648
American Samoa,,,,,,,,,,,,,,1.376760783,0.958704603,0.238921013,-3.394752379,2.67197034,-1.800450002,-3.257941095,1.245264257,0.992450746,-3.231910641,-1.21950184
Antigua and Barbuda,3.512719107,1.685236976,-0.445128902,3.4008518,4.707692263,-6.21372328,4.46620012,3.368633335,2.777121573,1.952957112,4.457311286,-6.000792503,-0.255113806,4.880932309,4.606741223,5.236709085,11.27865894,7.821253426,-1.497593577,-13.29886801,-9.089174819,-3.12748111,2.258654934,-1.525263424
Australia,2.054793811,-1.644753047,-0.689506015,3.125986342,2.984297795,2.736499286,2.603790281,2.794518342,3.575818587,3.81438537,2.71882937,0.739613358,2.817325413,1.932212851,3.108286755,1.905683368,1.363514029,1.901150677,1.5135102,-0.20740929,0.628836598,0.978468035,2.10380811,0.828325558
Austria,3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943
Azerbaijan,,-2.012383104,-23.76120216,-24.25686416,-20.77555855,-12.81342944,0.28021389,4.784282352,8.960886763,6.461584076,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099
Burundi,1.42189607,2.913068415,-1.597561735,-3.069248456,-4.36690134,-13.29592729,-7.964692393,-1.479610111,2.815176025,-3.329950483,-2.86056588,-0.439187877,1.568534631,-4.274588198,1.010882046,-2.764880494,1.706713839,-0.277700517,0.637154646,-1.327694607,0.318221818,0.41151196,0.824080966,1.263599334
Belgium,2.830267975,1.455371726,1.11956586,-1.34799971,2.909318769,2.170550274,1.123669018,3.542789064,1.744323895,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386
Benin,5.712445594,1.082571177,-0.14985962,1.228883488,-1.720724529,3.885942391,1.678298827,2.702447716,0.84800005,2.169593733,2.689647379,2.207364924,1.548959248,0.372024802,1.316512038,-1.467813821,0.811410157,2.982053319,1.849625069,-0.648436891,-0.839355824,-0.007428192,1.800064493,4.127606235
Burkina Faso,-3.173227944,6.348168294,-2.205514145,0.921974042,-1.206820025,3.041040495,8.214114979,3.622726386,4.398136185,4.299232007,-1.106850828,3.420372815,1.193156955,4.507163311,1.250803724,5.293432973,2.986692134,1.001302627,2.731085634,-0.012474271,5.305144555,3.502706594,3.273591496,2.657295331
Bangladesh,3.400369596,1.500470719,3.519728548,2.729706135,1.9167073,3.177185503,2.706249817,2.638487151,3.222149859,2.684717105,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968205,5.388330716,5.939181515,5.076730248,4.124685807,4.373484667,5.174520875,5.20499112,4.678721918
Bulgaria,-7.463207654,-7.534068849,-6.271263865,-0.691213558,2.164358868,3.320396956,5.74937124,-13.59092363,4.484024225,-7.881072604,5.105055058,5.911159292,8.195216694,6.074063329,7.31740448,7.865501647,7.616849472,7.441487797,6.877127828,-2.722415408,2.212431063,2.758011774,1.340217109,-0.00242338
Bahrain,0.992712757,7.49120497,3.023473723,9.076230444,-3.52857225,0.593021768,0.848609082,-0.048396791,1.69827355,1.339020825,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883
"Bahamas, The",-3.481588741,-6.04880613,-5.843050602,-1.847236076,1.102406217,2.442431009,2.385033542,5.070879768,-6.086230946,10.49006117,2.629682064,1.1892679,1.359063337,-2.573648591,-0.469561177,1.993583704,1.104087361,0.027989689,-3.704404799,-5.545775183,0.119788587,-0.631937739,1.977657978,-3.767283671
Bosnia and Herzegovina,,,,,,21.18015808,81.35516538,29.74152353,13.70910001,8.598349351,12.05488255,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129
Belarus,,-1.245567019,-9.798383809,-7.803769961,-11.59557512,-10.1088528,3.146686066,11.8639522,8.889364506,3.866378654,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413
Belize,9.066681722,9.137893136,9.778566256,4.115190339,-1.943300411,-1.901187531,-1.998032421,0.111778475,0.32739479,5.288195129,9.39899286,1.784486467,1.874493966,6.013910049,1.504839261,-0.807645036,1.559296811,0.340204416,-4.257774011,-3.145662282,-1.238076017,-2.358493725,1.54089716,2.215709713
Bermuda,-0.798461538,-3.035881339,0.666851964,2.457765924,-0.095697515,3.654763146,1.946947479,3.963724659,3.139627286,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895
Bolivia,2.467411575,3.105994961,-0.408970621,2.195240038,2.637063079,2.705928464,2.429446093,3.042141914,3.136997548,-1.383429233,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424
Brazil,-6.065555669,-0.700696276,-2.179979806,3.242563272,4.182955815,2.608090006,0.656502163,1.855343025,-1.124442426,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452
Barbados,-3.348307001,-4.097736643,-5.986085477,0.490683001,1.731308336,1.784148274,3.782604152,4.568602084,3.564005148,0.134115254,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.740724577,1.694449723,0.200454089,-5.418778446,-2.692141229,-0.967165211,-0.688990257,-1.685187442
Brunei Darussalam,-2.039423774,0.114170788,1.905263673,-2.266164915,0.593746994,1.976921959,0.49313578,-3.679156013,-2.713190453,0.88016699,0.730069451,0.687036971,1.864685729,0.990882746,-1.284601231,-1.3250511,2.692052121,-1.416167647,-3.423745709,-3.209963091,1.111479826,2.336315197,-0.359754944,-3.330844835
Bhutan,7.569785613,-2.033740668,8.771178133,6.902424404,4.866537368,5.800275948,3.609396628,3.568167575,3.960161884,5.36526756,0.500693009,5.470289332,8.156908908,5.176425964,3.502987055,5.130903788,5.420472436,16.91019932,3.565242325,5.533319776,10.70222196,6.799598004,3.979385564,1.035010357
Botswana,3.604755604,4.414555309,0.011375129,-0.981011842,0.782660048,4.250704012,3.252230011,5.838418579,-1.761220911,7.342426873,-0.104457972,-1.737732223,4.107829819,2.808520617,0.925705711,2.693878256,6.34700491,3.73406781,1.176918832,-15.89055769,7.875871132,4.717165863,-2.070174126,9.005663889
Central African Republic,-5.112200333,-3.600803372,-9.354066288,-2.828887557,1.652169655,4.29285448,-6.47928499,2.410459241,1.855412677,0.757392208,-5.182200264,2.138855273,1.352775362,-7.657345914,3.720591047,-1.338182594,2.684667344,2.665865061,-0.03993708,6.272393967,2.485984851,2.610234803,4.145158394,-36.77769716
Canada,,,,,,,,,3.037475991,4.31156937,4.202682574,0.69016125,1.903852002,0.888030154,2.129630941,2.234059429,1.602574764,1.082975538,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813
Central Europe and the Baltics,,-9.547431007,-1.640834756,1.610400974,4.124300563,5.863911833,4.783083227,2.503779049,2.856902641,2.079816152,4.540344448,3.832602352,4.289313338,4.412176523,6.130510445,5.3040699,6.857610582,6.827804996,4.308882945,-3.317836403,1.805473104,3.761303759,1.057872617,0.878883384
Switzerland,2.417436703,-2.146489921,-1.13971907,-1.031422365,0.465686404,-0.188350744,0.028540639,2.015283161,2.724284656,1.179005936,3.376157295,0.934949653,-0.826280428,-0.771333169,1.998132056,2.093586607,3.42255066,2.991822023,1.509950794,-3.51055886,2.173638164,0.68733987,0.110596604,0.628360675
Channel Islands,,,,,,,,,,3.340309634,5.466131638,-2.010642944,-2.382830378,-3.968232859,-0.578063489,0.554006145,4.039018093,5.041328321,,,,,,
Chile,1.674318522,6.062941175,9.389369284,4.943403873,3.461190718,7.375838248,5.351007611,5.986326529,2.878669136,-1.454255617,3.772356977,2.009936512,2.086110705,3.631566469,5.616340075,4.807518067,5.01599112,4.142002319,2.755800964,-2.128300575,4.788942692,5.176036996,5.125738377,2.31640012
China,2.406558572,7.782091991,12.83320958,12.58199664,11.76638915,9.754954889,8.776429811,8.124497577,6.816064564,6.733485658,7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134
Cote d'Ivoire,-4.812715096,-3.669211099,-3.889103818,-3.776125897,-2.737322724,3.399180944,4.010910041,5.89860299,0.821945731,-1.846652083,-2.959710899,-4.683346315,-5.142085307,-7.000661329,0.801103624,-1.268265055,0.56862426,-1.059815638,2.573868008,1.432261367,4.610518088,-7.314005486,5.430923065,8.499803033
Cameroon,-8.909239183,-6.64425525,-5.903355961,-10.5729314,-0.994143235,0.068585266,1.42319589,1.784214065,1.993610624,1.77836308,1.131126752,1.619678854,1.714569107,2.614132052,4.150729442,-0.527954207,1.024993586,1.466544498,-0.029081451,-0.299622051,0.006582792,0.493346681,1.721841651,2.082609838
"Congo, Dem. Rep.",-9.584213389,-11.39352542,-13.15587163,-16.19859124,-8.370576957,-3.426580771,-2.891758169,-7.098396744,-3.924800034,-6.969532095,-9.570694324,-5.012042163,-0.151731065,2.514865995,3.60340242,2.879528265,2.017148351,2.897014253,2.880741558,-0.3784622,3.686160116,3.35182131,3.552018767,4.845979483
"Congo, Rep.",-1.805379199,-0.411797992,-0.167412667,-3.774134991,-8.150381505,1.213870332,1.539882799,-2.644850409,1.543223128,-5.14928872,3.547205816,-0.027544188,2.162661737,-1.938996116,0.019857938,3.94682346,4.007991907,-9.989537905,2.842036482,7.241581921,5.45626725,-1.056578869,6.936986163,-3.07344321
Colombia,2.112398501,-0.056151384,2.001952161,3.328236889,3.773867157,3.229305171,0.210252816,1.601503541,-1.159549927,-5.794495365,1.271082628,0.088483852,0.942693273,2.390448042,3.839378166,3.406895648,5.339723444,5.422847619,2.084242363,0.001662279,3.323734506,5.784699766,2.837889026,4.098265909
Comoros,2.279420158,-7.782366462,5.96427522,0.709913519,-7.309375609,1.408039774,-3.394109173,1.816825031,-0.862253011,-0.105394136,8.717689838,0.28098417,0.255555657,0.119030969,-0.013669964,0.837129283,0.61407525,-1.200112163,1.888357948,1.14810444,1.637270424,1.960299485,0.985839766,2.249640757
Cabo Verde,-1.079096461,-0.815355215,8.25792798,5.988307322,16.24324545,11.51113749,8.800936887,8.629282881,10.07378035,8.894187851,12.13409838,0.540730931,3.633309701,2.688116923,8.726368147,5.557902764,6.67270905,13.8360549,5.479600057,-2.285603673,0.381673315,2.725448256,-0.119066631,-0.331546583
Costa Rica,0.954542165,-0.296531513,6.488284176,4.473266466,2.009362935,1.713859604,-0.960770709,3.129747491,4.855971419,2.077614596,1.838873563,1.600982803,1.675937517,2.673776029,2.848457985,2.456798968,5.799838282,6.707755266,3.298011334,-2.203057169,4.012638874,3.116526116,3.627812474,1.319512787
Caribbean small states,0.314426807,0.658004164,1.344948148,2.046653096,1.88473973,1.969250704,2.542517049,3.169189022,0.34947896,4.252692585,3.029549735,1.3565365,2.885720479,4.884095064,3.262888641,2.966179383,6.121912712,2.747459436,0.619409272,-4.096716608,0.734935698,0.510175002,2.533316024,0.753127286
Cuba,-3.857215476,-11.41900479,-12.1540307,-15.32719887,0.28886143,2.086856191,7.48140632,2.455415373,-0.164276866,5.840205904,5.574321641,2.876228671,1.144029242,3.52243391,5.524827061,10.99578811,11.92139979,7.174032658,4.054763877,1.392178173,2.324766851,2.726846251,2.9185284,2.636075249
Curacao,,,,,,,,,,,,3.007946013,0.274293371,-1.758681697,-1.505340183,-1.858439975,-0.940961791,0.466173824,0.910342295,-1.176896518,-1.176268627,-0.806885914,-0.891840181,-1.929813587
Cayman Islands,,,,,,,,,,,,,,,,,,0.108078948,-3.234236986,-9.809708074,-5.363905871,-1.41613441,-1.205742351,-1.072927201
Cyprus,5.139971416,-1.834741576,6.527831932,-1.702624997,3.732198767,6.415538258,-0.352381792,1.196222263,4.817748898,3.829598372,4.844155984,2.838129284,2.541064553,1.38361898,3.63080498,3.353772518,2.981296273,2.884110626,1.076560783,-4.610651165,-0.35676942,-2.112935753,-4.907387691,-6.370077361
Czechia,,-11.40250599,-0.608213656,-0.042053082,2.872143487,6.566133528,4.386832731,-0.411069078,-0.262114936,1.487792085,4.293071465,3.430857546,1.76597432,3.613338965,4.782365794,6.454261737,6.478203603,4.956085333,1.838240193,-5.198981919,2.136880484,1.55018979,-0.92373445,-0.079052895
Germany,4.351639054,4.345220055,1.151046332,-1.625684284,2.03735421,1.246141876,0.514437285,1.643334273,1.998485321,1.821428031,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,6.167490394,1.846141363,2.072233263,2.077226091,-0.007441692,3.02639601,3.156375977,2.311360947,3.989488588,0.704671154,2.867298553,0.219160831,-2.98316206,6.073432194,2.852325155,0.509291715,4.555925723,6.301941569,7.110156189,-1.176774443,0.719489528,-0.204681673,-1.268694036,-0.900680193
Denmark,1.310525163,1.130840198,1.620420852,-0.32195993,4.977347179,2.492248169,2.319405698,2.832664465,1.847613945,2.60794426,3.400684546,0.462534295,0.145880727,0.117358167,2.403233997,2.055110516,3.572063464,0.462731494,-1.094842128,-5.414013999,1.419486631,0.920393685,-0.149916088,0.513424428
Dominican Republic,-7.429983278,-1.127861594,8.990656048,5.25672562,0.636265971,3.727180735,4.092189488,7.044764457,5.013024874,4.312189114,3.075842277,0.943739475,2.997365375,-2.725462464,1.171908499,7.975831368,7.770307349,6.067420944,1.90090508,-0.362882608,6.924484313,1.800671362,1.415388695,3.572464785
Algeria,-1.68292795,-3.528167862,-0.538303713,-4.268935462,-2.966914207,1.828036977,2.280472012,-0.585445319,3.524321957,1.766866717,2.354580269,1.592496615,4.185160104,5.758041705,2.842493639,4.465245065,0.244873738,1.730369331,0.664881576,-0.208351661,1.6921701,0.964977575,1.410226663,0.797967812
East Asia & Pacific (excluding high income),3.484106248,6.369005318,9.595899828,9.780961818,9.461084492,8.472321038,7.711994304,6.040928218,1.706703754,5.245133322,6.570043135,5.987681913,7.103895587,8.020368808,8.233072455,9.093528805,10.20989737,11.63564164,7.809110784,7.195355795,9.1328568,7.824765276,6.661546719,6.402416983
Early-demographic dividend,2.894871517,2.23930876,1.774616873,1.241768846,1.37009103,0.390313535,3.747838735,2.67500146,0.362067213,0.181910409,2.471358257,-0.802010354,0.036080427,3.646990771,4.459262838,4.181007606,4.280206314,4.096357894,1.909385356,-0.702461149,4.924411268,3.329814419,2.723758364,2.664219134
East Asia & Pacific,3.504201367,3.354387925,2.850379312,2.872394071,3.922131332,4.398049164,4.37465182,2.864284973,-0.647916238,2.695145384,4.405364418,2.384246481,3.504620071,4.115262008,5.06477227,5.111525782,5.665925814,6.685203099,3.631437903,1.847210543,6.877332449,4.716967015,4.345771472,4.427756804
Europe & Central Asia (excluding high income),-2.116886123,-5.571108027,-11.12506306,-6.25096609,-11.36977606,-2.005343022,-0.316336333,2.688133665,-1.646538433,2.368715459,8.394530814,2.623497222,5.468967011,6.864106337,8.154842939,7.201434033,7.98175829,7.510489696,3.820601121,-6.171066538,5.062036887,5.687948285,3.379703739,3.352276601
Europe & Central Asia,1.812265217,-0.08147519,-0.921513527,-1.071517494,0.978439337,1.945586322,1.493666279,2.819577426,2.452255968,2.753862958,4.211363606,2.06484135,1.398874467,1.530031521,2.873106227,2.349569485,3.508513601,3.274819687,0.615529395,-4.815759845,2.295196718,2.092609065,-0.039383211,0.370196116
Ecuador,1.302164164,1.98381762,-0.018341778,-0.029153402,2.284532016,0.359639648,-0.113109062,2.477499617,1.473244066,-6.369163606,-0.625240913,2.242180682,2.304133694,0.942184171,6.344882336,3.491195493,2.621996709,0.44929932,4.559943578,-1.111364474,1.820647693,6.111532316,3.962519179,3.350546243
"Egypt, Arab Rep.",2.991332082,-1.2838981,2.07284,0.565475835,1.664929343,2.373936757,2.749671003,3.242900732,3.335403438,3.835706513,4.188865984,1.427875027,0.271350021,1.061259567,1.998606848,2.420125626,4.784127568,5.018084821,5.07816837,2.645918665,3.036697187,-0.457409359,-0.059787762,-0.153662237
Euro area,3.136520743,2.142566653,0.950168013,-1.066131971,2.162651228,2.156952418,1.427321354,2.462935909,2.819184534,2.699466714,3.524962256,1.803607904,0.448592112,0.137470783,1.732878206,1.157750261,2.750248681,2.468700924,-0.072788029,-4.830699504,1.939339069,1.93536184,-1.060329403,-0.558569807
Eritrea,,,,10.00397056,17.59628266,-2.611583785,4.102364069,6.614285729,0.405890028,-1.417832241,-4.615491589,5.705289623,-0.451653406,-6.5430732,-2.577856846,0.089826485,-2.632089695,-0.170229234,-12.17251481,1.245507906,0.12159164,6.652182535,,
Spain,3.675767951,2.285324777,0.43611499,-1.543358244,1.896906895,2.304957068,2.233853417,3.268766786,3.961965254,4.067886268,4.776400785,3.214134567,1.289977181,1.13629399,1.358648611,1.915746393,2.357772472,1.704571588,-0.709644824,-4.611747923,-0.297178904,-1.166203907,-3.021906537,-1.079741265
Estonia,,,,,,,6.502784471,14.34721002,5.346900129,-0.717824476,9.556418469,6.681033541,7.449840428,8.277712285,7.444416375,10.15499479,10.41473423,8.071025334,-4.877286528,-14.46432838,2.678164039,7.589211665,3.59836216,1.820154161
Ethiopia,-0.882676687,-10.9670136,-12.31445171,9.398618788,-0.202451075,2.69990136,8.88160076,-0.042347687,-6.368031773,2.025446944,2.980694098,5.183296102,-1.419431349,-4.963548611,10.35673538,8.688193147,7.745595719,8.322832059,7.68786008,5.794553796,9.419873429,8.054120481,5.618653919,7.583098924
European Union,3.042439582,1.512144858,0.866518077,-0.895925854,2.39679734,2.469119278,1.716328815,2.499260976,2.873548005,2.780041421,3.776213125,2.040980905,0.878851785,0.549506075,2.208504805,1.56427054,3.158741781,2.81023011,0.318563255,-4.574618102,2.082125241,2.074578976,-0.846147872,-0.326851966
Fragile and conflict affected situations,2.327902649,-9.557922741,-1.837374672,-4.12757431,-6.41812458,-2.510747564,1.328792056,2.719044069,3.457860304,1.018947037,3.121146279,2.029222739,2.131837735,-1.261345417,8.430549224,3.326191164,3.352782187,3.564188355,2.562606272,0.378839555,4.346458955,-2.386353835,2.347331494,1.00631553
Finland,0.224909953,-6.398949439,-3.836533052,-1.141488063,3.515885274,3.819876288,3.327669342,6.018052758,5.17759148,4.137574737,5.553997853,2.37665487,1.460928622,1.76083857,3.690587797,2.428689227,3.628941348,4.852313276,0.315886377,-8.513028487,2.714966735,2.073396315,-1.865591174,-1.357215611
Fiji,4.752617533,-3.245744198,5.826681399,1.827342671,4.886690479,2.313304635,4.235304707,-3.176574747,0.133232217,7.548052587,-2.772962329,0.931771647,2.159245426,0.009775585,4.280889849,-0.247123291,0.911330811,-1.692810583,0.347435415,-1.894980247,2.524049644,2.344910977,1.110328173,4.459729481
France,2.430246965,0.163146328,1.094598035,-1.059437335,1.976326264,1.736167099,1.05172456,1.972119245,3.205153055,2.88869862,3.212384848,1.24252729,0.401189129,0.109402979,2.076624908,0.903680387,1.741085258,1.795236367,-0.302483826,-3.370397283,1.448245262,1.700610402,-0.171161336,0.058149505
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",1.839769135,5.476197905,1.515292839,4.941209335,-3.10605342,5.575034548,-3.581754614,-6.355096631,2.598481043,1.253558695,4.674366384,1.949482805,0.507494245,1.742000006,-2.760965842,2.49992422,0.497798984,-1.146998814,-1.66513661,1.876592316,2.525522138,2.902596056,-2.179628787,-4.014111423
Gabon,2.354481953,3.279285614,-5.654397103,1.220151969,1.036412289,2.321067901,1.04595294,3.120912474,0.909687405,-11.20291442,-4.362686955,-0.495554569,-2.859056185,-0.475164875,-2.061050467,-0.227534414,-5.664485439,2.776783314,-6.342412083,-3.113239988,3.487294146,3.382360848,1.571854945,2.000039245
United Kingdom,0.433081157,-1.408485703,0.129932953,2.244410579,3.581967568,2.26078355,1.648653014,4.09812733,2.857118294,2.67118742,3.721393156,1.764902677,1.340842566,2.643986211,1.764340112,1.965819786,1.412229708,1.767934814,-0.937077972,-5.230034826,1.630274045,0.280839243,0.745478658,1.140212964
Georgia,-14.76515732,-21.65309529,-45.32510667,-29.84129006,-9.009992894,6.528767015,15.31019682,14.12142425,5.687769083,5.007586678,3.838100069,6.443911043,6.424463063,11.81131435,6.451674622,10.28800429,10.04357676,13.16775225,2.730182663,-2.790940254,7.027385327,8.264988721,7.155378254,3.933646408
Ghana,0.689672245,2.647107903,1.333355891,2.316983125,0.892084667,1.736186137,2.227534068,1.777795764,2.20148382,1.884379706,1.122932344,1.270303419,1.667050975,2.382824942,2.818909276,3.120307425,3.62857797,1.663212531,6.37791278,2.219568023,5.267238029,11.30007269,6.636351702,4.712772226
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0.745224866,-1.443956376,-0.000934214,1.855265279,0.877458706,1.718979963,1.541535029,3.039952188,1.702365885,1.496338582,0.510408914,2.32360542,3.545380566,-0.995885504,0.184086182,0.979328739,-0.876468729,4.395643234,1.655245404,-3.505824317,2.268168038,3.034094544,3.353180363,1.437755266
"Gambia, The",-0.50976961,-0.977138988,-0.621627839,-0.616792228,-2.966273836,-2.064070168,-0.72670899,1.878692562,0.509372433,3.328758783,2.488102794,2.80288577,-5.968645508,3.865439346,3.997774412,-5.183078011,-3.514924306,-0.085561126,3.007368864,3.395701264,2.674353276,-10.93207644,2.034710374,-0.218687978
